Date,momentum_3m_quarterly_n5,momentum_6m_quarterly_n5,momentum_12m_quarterly_n5,momentum_12m_skip_1m_quarterly_n5,risk_adjusted_momentum_quarterly_n5,low_vol_momentum_quarterly_n5,breakout_52w_quarterly_n5,drawdown_filtered_momentum_quarterly_n5,low_volatility_quarterly_n5,mean_reversion_rsi_quarterly_n5,high_liquidity_quarterly_n5,min_drawdown_quarterly_n5,spy_buy_and_hold
2020-04-24,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.8010832391736692,1.0695416876205075,1.0,0.8761473260182588
2020-04-27,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.8237661546228117,1.0684766628631224,1.0,0.8887799698086208
2020-04-28,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.849264396762628,1.0447472636588682,1.0,0.8846930652989586
2020-04-29,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.8693238432882018,1.0831430395492185,1.0,0.9078530153042763
2020-04-30,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.8301915776965804,1.1060689526923764,1.0,0.8994000267121989
2020-05-01,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.8072649034497923,1.0678438983329404,1.0,0.8755902035486007
2020-05-04,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.8030574132678694,1.0883853428252803,1.0,0.8780053284240056
2020-05-05,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.8013031435725875,1.0976316842445004,1.0,0.8861175097635564
2020-05-06,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.7778662553785033,1.109877319658624,1.0,0.8801107690557326
2020-05-07,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.7995532270429321,1.1230909862884153,1.0,0.890731032071952
2020-05-08,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.8307861769197173,1.1374790409453976,1.0,0.9054690134377203
2020-05-11,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.808138746237535,1.1548529332526791,1.0,0.9056546178712858
2020-05-12,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.7890409186361023,1.1307975957282652,1.0,0.8876035819079277
2020-05-13,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.7469190244434065,1.120285500467645,1.0,0.8719056309149181
2020-05-14,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.7710992207048125,1.1338931077369323,1.0,0.8823398772722894
