date,equity
2024-10-30,0.9919345007330906
2024-10-31,0.970134780315299
2024-11-01,0.9666387093396615
2024-11-04,0.9647693242844981
2024-11-05,1.0331811814231258
2024-11-06,1.0659373739408649
2024-11-07,1.0651834789948131
2024-11-08,1.1033532650091893
2024-11-11,1.1403794277427888
2024-11-12,1.1020053879020906
2024-11-13,1.1097470902077713
2024-11-14,1.0838567813627829
2024-11-15,1.1122509980329145
2024-11-18,1.1070844615655009
2024-11-19,1.1367796031670634
2024-11-20,1.1365972578175938
2024-11-21,1.1384936678190434
2024-11-22,1.1628604225425843
2024-11-25,1.1369608646442257
2024-11-26,1.1518991704854948
2024-11-27,1.1565174485658383
2024-11-29,1.1622217284875367
2024-12-02,1.1483279685505297
2024-12-03,1.1815975054809962
2024-12-04,1.1718521599047917
2024-12-05,1.1823962213181556
2024-12-06,1.206720590367228
2024-12-09,1.1695255396706834
2024-12-10,1.1572968484918658
2024-12-11,1.1963450009544674
2024-12-12,1.1761718560483851
2024-12-13,1.1974238238329615
2024-12-16,1.2164170229906763
2024-12-17,1.2071766177172387
2024-12-18,1.1508666964525902
2024-12-19,1.1812394579882348
2024-12-20,1.212663006877395
2024-12-23,1.2218234621967612
2024-12-24,1.251767666145736
2024-12-26,1.240270878883773
2024-12-27,1.2045189889597239
2024-12-30,1.1819140037614322
2024-12-31,1.163305276512325
2025-01-02,1.1529794085509266
2025-01-03,1.1812778140473177
2025-01-06,1.1748649738514363
2025-01-07,1.1563853843516192
2025-01-08,1.1580885221120398
2025-01-10,1.1696658644059867
2025-01-13,1.148861009059307
2025-01-14,1.1847809439042778
2025-01-15,1.187656143554377
2025-01-16,1.2056775661312815
2025-01-17,1.2227767821921247
2025-01-21,1.2693754653586287
2025-01-22,1.2871800191814018
2025-01-23,1.298098331907003
2025-01-24,1.290509784698446
2025-01-27,1.1307854972935165
2025-01-28,1.198809626722985
2025-01-29,1.2108729491717154
2025-01-30,1.2750686666763755
2025-01-31,1.252144693799939
2025-02-03,1.2506453468499668
2025-02-04,1.3178525060209352
2025-02-05,1.3297542110522156
2025-02-06,1.3595581935961611
2025-02-07,1.3562870921987613
2025-02-10,1.3697391324517887
2025-02-11,1.3514274209295718
2025-02-12,1.3736896227395163
2025-02-13,1.3695879161165645
2025-02-14,1.3855658900545527
2025-02-18,1.406711165684626
2025-02-19,1.3903183328631892
2025-02-20,1.338785363752407
2025-02-21,1.2586746482672764
2025-02-24,1.2146594310856331
2025-02-25,1.196849158807801
2025-02-26,1.2413120733713994
2025-02-27,1.1723375503048676
2025-02-28,1.1837643901571935
2025-03-03,1.1451757073689897
2025-03-04,1.1135537656342236
2025-03-05,1.1513345514716975
2025-03-06,1.076976803821551
2025-03-07,1.0812525665146997
2025-03-10,1.0088503614365518
2025-03-11,1.0087745395062286
2025-03-12,1.0179474538593998
2025-03-13,0.983681612179466
2025-03-14,1.0303580156190202
2025-03-17,1.0451331045443732
2025-03-18,1.0376781695414743
2025-03-19,1.0699195895243845
2025-03-20,1.065421187687314
2025-03-21,1.0591771790508395
2025-03-24,1.103303661487989
2025-03-25,1.0967920764966068
2025-03-26,1.0720118694481795
2025-03-27,1.046565508647145
2025-03-28,1.0246389905963773
2025-03-31,1.0247470160319982
2025-04-01,1.0378267541403428
2025-04-02,1.065183249781067
2025-04-03,0.9854153451110147
2025-04-04,0.9081756230496879
2025-04-07,0.9131186426917052
2025-04-08,0.8976238148369216
2025-04-09,0.9838153383502807
2025-04-10,0.9566938383035462
2025-04-11,0.9694961725816363
2025-04-14,0.9825529478139694
2025-04-15,1.0014063374648696
2025-04-16,0.9835441970595544
2025-04-17,0.9934148776793384
2025-04-21,0.9738626048631307
2025-04-22,1.0030440811189543
2025-04-23,1.028144372496056
2025-04-24,1.06851466314061
2025-04-25,1.0839672802079332
2025-04-28,1.0914313814100758
2025-04-29,1.103899180123328
2025-04-30,1.1155190057143893
2025-05-01,1.111643856054843
2025-05-02,1.1269877475907892
2025-05-05,1.1241088561438666
2025-05-06,1.0987625878365888
2025-05-07,1.1148577827781798
2025-05-08,1.1363506105978425
2025-05-09,1.1329454661699112
2025-05-12,1.149225570779234
2025-05-13,1.1867638364172841
2025-05-14,1.1806452451275766
2025-05-15,1.176142621730052
2025-05-16,1.1964930540301322
2025-05-19,1.1855284460284232
2025-05-20,1.1703396322466848
2025-05-21,1.1425175268282677
2025-05-22,1.1436729626409445
2025-05-23,1.1436803432955083
2025-05-27,1.1494242619051274
2025-05-28,1.1494916628606981
2025-05-29,1.147679781672978
2025-05-30,1.1700075282550093
2025-06-02,1.187039248981059
2025-06-03,1.2009297030826216
2025-06-04,1.1875335908502134
2025-06-05,1.1708525539652537
