strategy,allocation_mode,rebalance_frequency,top_n,rebalance_no,signal_date,effective_date,selected_count,cash_contribution,portfolio_value_before_contribution,portfolio_value_before,portfolio_value_after,buy_notional,sell_notional,fees,traded_notional,turnover,target_turnover_threshold,skipped_by_turnover,cash_after,tax
momentum_6m,equal_weight,quarterly,5,54,2023-05-31,2023-06-01,5,2000.0,431478.7506368657,433478.7506368657,441352.462616388,432863.8193385395,431152.6272274177,604.8115125961701,864016.4465659573,1.9932152274974193,0.0,False,10.119785730006924,0.0
momentum_6m,equal_weight,quarterly,5,55,2023-08-30,2023-08-31,5,2000.0,481492.770589194,483492.770589194,489323.90561798227,193452.46230829495,191757.1421705061,269.6467231351607,385209.604478801,0.7967225735544646,0.0,False,45.152924805976966,0.0
momentum_6m,equal_weight,quarterly,5,56,2023-11-29,2023-11-30,5,2000.0,518451.26669113897,520451.26669113897,511468.5232327634,409855.0216369479,416106.113766333,578.1727947822966,825961.1354032808,1.587009559328148,0.0,False,423.7891324216306,7294.2831269871585
momentum_6m,equal_weight,quarterly,5,57,2024-02-27,2024-02-28,5,2000.0,586608.3141611626,588608.3141611626,588194.6136177741,587715.9593476965,586184.525028741,821.7303390635062,1173900.4843764375,1.9943661279222438,0.0,False,70.62447440257517,0.0
momentum_6m,equal_weight,quarterly,5,58,2024-05-29,2024-05-30,5,2000.0,616787.8101623431,618787.8101623431,617242.0280172727,494447.0534828401,493109.0936416246,691.2893029871253,987556.1471244647,1.5959528143668067,0.0,False,41.37533019993259,0.0
momentum_6m,equal_weight,quarterly,5,59,2024-08-30,2024-09-03,5,2000.0,480267.44720931014,482267.44720931014,466105.3571866808,289025.22147892776,287403.64646747056,403.5002075624788,576428.8679463983,1.1952473078619816,0.0,False,16.3001111802742,0.0
momentum_6m,equal_weight,quarterly,5,60,2024-11-29,2024-12-02,5,2000.0,609798.237182569,611798.237182569,578734.9233777659,588197.3954207778,609781.9370713887,838.5855327445166,1197979.3324921667,1.9581281208148908,0.0,False,62.448051227853625,22699.80817781877
momentum_6m,equal_weight,quarterly,5,61,2025-02-28,2025-03-03,5,2000.0,574155.9357885495,576155.9357885495,550222.4981400284,239795.84012327378,238075.05765454468,334.5096284444729,477870.8977778185,0.8294124352355856,0.0,False,7.155954054295421,0.0
momentum_6m,equal_weight,quarterly,5,62,2025-05-30,2025-06-02,5,2000.0,628522.7437435195,630522.7437435195,638696.4565192693,503822.3831780569,502600.8601283324,704.4962703144726,1006423.2433063893,1.596172784079263,0.0,False,81.13663401533029,0.0
momentum_6m,equal_weight,quarterly,5,63,2025-08-29,2025-09-02,5,2000.0,663525.4966257589,665525.4966257589,679776.8133115823,531684.5189181536,530388.3626772905,743.4510171168107,1062072.881595444,1.5958410113214236,0.0,False,41.52937603540761,0.0
momentum_6m,equal_weight,quarterly,5,64,2025-12-01,2025-12-02,5,2000.0,949116.5203432766,951116.5203432766,881013.2607588883,715122.403676992,770160.2516737386,1039.6978587455114,1485282.6553507308,1.561620078699362,0.0,False,179.05343581393845,55860.62607822254
momentum_6m,equal_weight,quarterly,5,65,2026-02-27,2026-03-02,5,2000.0,1558500.2763242165,1560500.2763242165,1583389.1946127946,657081.7622984468,655917.3532286107,919.0993808689403,1312999.1155270576,0.8413962723671207,0.0,False,95.54498510890483,0.0
momentum_6m,equal_weight,quarterly,5,66,2026-05-29,2026-06-01,5,2000.0,3137369.5363804093,3139369.5363804093,3078490.737463584,1184212.2466040938,1359853.608108229,1780.846098298626,2544065.854712323,0.8103747664078909,0.0,False,735.2535768654664,175220.8068140799
