strategy,rebalance_frequency,top_n,rebalance_no,signal_date,effective_date,ticker,shares,price,execution_price,market_value,weight,target_weight,allocation_mode,cash_contribution,cash_after,total_equity,rank_on_signal
momentum_6m,quarterly,5,10,2022-06-30,2022-07-01,VLO,84,95.89105987548828,95.722329231675,8054.849029541016,0.2000058131292533,0.2,equal_weight,2000.0,15.319049639400546,40273.074584765134,2.0
momentum_6m,quarterly,5,10,2022-06-30,2022-07-01,CASH,0,1.0,,15.319049639400546,0.0003803794420303727,,equal_weight,2000.0,15.319049639400546,40273.074584765134,
momentum_6m,quarterly,5,11,2022-09-30,2022-10-03,ALB,33,260.0624084472656,257.2311922736671,8582.059478759766,0.20171450092816498,0.2,equal_weight,2000.0,12.239299741416644,42545.5752525002,4.0
momentum_6m,quarterly,5,11,2022-09-30,2022-10-03,BIIB,31,264.29998779296875,269.0,8193.299621582031,0.19257700884184306,0.2,equal_weight,2000.0,12.239299741416644,42545.5752525002,2.0
momentum_6m,quarterly,5,11,2022-09-30,2022-10-03,CAH,134,63.84893035888672,62.74047433482408,8555.75666809082,0.20109627422626136,0.2,equal_weight,2000.0,12.239299741416644,42545.5752525002,5.0
momentum_6m,quarterly,5,11,2022-09-30,2022-10-03,CEG,102,84.1121597290039,82.59680265111157,8579.440292358398,0.20165293902928777,0.2,equal_weight,2000.0,12.239299741416644,42545.5752525002,1.0
momentum_6m,quarterly,5,11,2022-09-30,2022-10-03,GPC,63,136.86952209472656,134.9182001601154,8622.779891967773,0.20267160194199169,0.2,equal_weight,2000.0,12.239299741416644,42545.5752525002,3.0
momentum_6m,quarterly,5,11,2022-09-30,2022-10-03,CASH,0,1.0,,12.239299741416644,0.0002876750324511689,,equal_weight,2000.0,12.239299741416644,42545.5752525002,
momentum_6m,quarterly,5,12,2022-12-30,2023-01-03,FSLR,60,145.94000244140625,151.00999450683594,8756.400146484375,0.19645069411202654,0.2,equal_weight,2000.0,8.856629144103799,44573.01709247723,1.0
momentum_6m,quarterly,5,12,2022-12-30,2023-01-03,NFLX,305,29.4950008392334,29.805999755859375,8995.975255966187,0.20182558513600088,0.2,equal_weight,2000.0,8.856629144103799,44573.01709247723,2.0
momentum_6m,quarterly,5,12,2022-12-30,2023-01-03,PCG,578,15.455942153930664,15.761511906488213,8933.534564971924,0.20042472212363818,0.2,equal_weight,2000.0,8.856629144103799,44573.01709247723,4.0
momentum_6m,quarterly,5,12,2022-12-30,2023-01-03,ROST,81,111.65271759033203,112.42386203956521,9043.870124816895,0.2029001112052445,0.2,equal_weight,2000.0,8.856629144103799,44573.01709247723,3.0
momentum_6m,quarterly,5,12,2022-12-30,2023-01-03,SLB,187,47.24267578125,48.49024991517507,8834.38037109375,0.19820018808160877,0.2,equal_weight,2000.0,8.856629144103799,44573.01709247723,5.0
momentum_6m,quarterly,5,12,2022-12-30,2023-01-03,CASH,0,1.0,,8.856629144103799,0.00019869934148116189,,equal_weight,2000.0,8.856629144103799,44573.01709247723,
momentum_6m,quarterly,5,13,2023-03-31,2023-04-03,BA,48,215.38999938964844,212.8000030517578,10338.719970703125,0.19968831517330493,0.2,equal_weight,2000.0,11.083483309769825,51774.2861505461,4.0
momentum_6m,quarterly,5,13,2023-03-31,2023-04-03,FSLR,48,208.49000549316406,217.27999877929688,10007.520263671875,0.19329132292761353,0.2,equal_weight,2000.0,11.083483309769825,51774.2861505461,5.0
momentum_6m,quarterly,5,13,2023-03-31,2023-04-03,GE,138,76.13777160644531,75.21865566433522,10507.012481689453,0.20293881891751836,0.2,equal_weight,2000.0,11.083483309769825,51774.2861505461,2.0
momentum_6m,quarterly,5,13,2023-03-31,2023-04-03,NVDA,380,27.907737731933594,27.45267208283813,10604.940338134766,0.20483025699858748,0.2,equal_weight,2000.0,11.083483309769825,51774.2861505461,1.0
momentum_6m,quarterly,5,13,2023-03-31,2023-04-03,WYNN,94,109.62776184082031,111.57209428180317,10305.00961303711,0.1990372128564522,0.2,equal_weight,2000.0,11.083483309769825,51774.2861505461,3.0
momentum_6m,quarterly,5,13,2023-03-31,2023-04-03,CASH,0,1.0,,11.083483309769825,0.00021407312652350148,,equal_weight,2000.0,11.083483309769825,51774.2861505461,
