strategy,rebalance_frequency,top_n,rebalance_no,signal_date,effective_date,action,ticker,shares,price,notional,fee,allocation_mode,pre_shares,post_shares,purchase_price,realized_pnl,realized_pnl_pct,rank_on_signal
momentum_3m,quarterly,5,9,2022-03-01,2022-03-02,SELL,TSLA,9,290.7099914550781,2616.389923095703,1.831472946166992,equal_weight,9,0,366.35333251953125,-680.7900695800781,-0.2064764650678328,408
momentum_3m,quarterly,5,10,2022-05-31,2022-06-01,BUY,ALB,19,239.2106394787559,4545.002150096362,3.1815015050674536,equal_weight,0,19,,,,3
momentum_3m,quarterly,5,10,2022-05-31,2022-06-01,SELL,APA,107,41.94789038995555,4488.424271725245,3.141896990207671,equal_weight,107,0,33.094427509820555,947.3205281744454,0.2675212579975223,10
momentum_3m,quarterly,5,10,2022-05-31,2022-06-01,BUY,CEG,75,60.486569491139534,4536.492711835465,3.1755448982848256,equal_weight,0,75,,,,5
momentum_3m,quarterly,5,10,2022-05-31,2022-06-01,SELL,DVN,73,62.85396223990746,4588.339243513245,3.211837470459271,equal_weight,73,0,31.998250686379404,2252.466943407548,0.9642937001760009,6
momentum_3m,quarterly,5,10,2022-05-31,2022-06-01,SELL,HAL,117,37.63016312886401,4402.729086077089,3.0819103602539624,equal_weight,117,0,30.154224516316315,874.6848176680801,0.24792342474277512,9
momentum_3m,quarterly,5,10,2022-05-31,2022-06-01,BUY,MPC,48,94.34062098352096,4528.349807209006,3.1698448650463042,equal_weight,0,48,,,,4
momentum_3m,quarterly,5,10,2022-05-31,2022-06-01,SELL,MOS,76,55.329919654173324,4205.073893717173,2.943551725602021,equal_weight,76,0,46.89104628932337,641.3543757285966,0.1799676917589148,23
momentum_3m,quarterly,5,10,2022-05-31,2022-06-01,SELL,OXY,9,66.18651079173655,595.6785971256289,0.41697501798794023,equal_weight,78,69,45.36860161096728,187.36118262692338,0.4588616012298867,2
momentum_3m,quarterly,5,10,2022-05-31,2022-06-01,BUY,VLO,40,115.73884433471123,4629.553773388449,3.2406876413719146,equal_weight,0,40,,,,1
momentum_3m,quarterly,5,11,2022-08-31,2022-09-01,SELL,ALB,19,250.75169477449091,4764.282200715327,3.334997540500729,equal_weight,19,0,239.2106394787559,219.2800506189651,0.04824641295589178,30
momentum_3m,quarterly,5,11,2022-08-31,2022-09-01,BUY,BA,30,158.0,4740.0,3.318,equal_weight,0,30,,,,3
momentum_3m,quarterly,5,11,2022-08-31,2022-09-01,BUY,BR,30,159.2540744646405,4777.622233939215,3.3443355637574506,equal_weight,0,30,,,,4
momentum_3m,quarterly,5,11,2022-08-31,2022-09-01,BUY,CAH,72,65.52376548419048,4717.711114861714,3.3023977804032,equal_weight,0,72,,,,1
momentum_3m,quarterly,5,11,2022-08-31,2022-09-01,SELL,CEG,16,79.25524266217225,1268.083882594756,0.8876587178163292,equal_weight,75,59,60.48656949113954,300.29877073652335,0.3102948857726518,2
momentum_3m,quarterly,5,11,2022-08-31,2022-09-01,SELL,MPC,48,91.28886850242534,4381.865688116417,3.067305981681492,equal_weight,48,0,94.34062098352096,-146.48411909258903,-0.03234823397684305,206
momentum_3m,quarterly,5,11,2022-08-31,2022-09-01,SELL,OXY,69,65.00640158154062,4485.441709126302,3.1398091963884114,equal_weight,69,0,45.36860161096728,1355.0081979695597,0.4328500168236647,129
momentum_3m,quarterly,5,11,2022-08-31,2022-09-01,BUY,PWR,34,139.6663418484362,4748.655622846831,3.3240589359927815,equal_weight,0,34,,,,5
momentum_3m,quarterly,5,11,2022-08-31,2022-09-01,SELL,VLO,40,103.28738205745917,4131.495282298367,2.8920466976088566,equal_weight,40,0,115.73884433471123,-498.0584910900825,-0.10758239680744544,356
momentum_3m,quarterly,5,12,2022-11-30,2022-12-01,BUY,BIIB,16,305.510009765625,4888.16015625,3.421712109375,equal_weight,0,16,,,,1
momentum_3m,quarterly,5,12,2022-11-30,2022-12-01,SELL,BA,30,178.8800048828125,5366.400146484375,3.7564801025390624,equal_weight,30,0,158.0,626.400146484375,0.1321519296380538,156
momentum_3m,quarterly,5,12,2022-11-30,2022-12-01,SELL,BR,30,139.9050848573821,4197.152545721463,2.938006782005024,equal_weight,30,0,159.2540744646405,-580.4696882177523,-0.12149761111169877,414
momentum_3m,quarterly,5,12,2022-11-30,2022-12-01,SELL,CAH,72,75.26750159254429,5419.260114663189,3.793482080264232,equal_weight,72,0,65.52376548419048,701.5489998014746,0.14870537485677277,117
momentum_3m,quarterly,5,12,2022-11-30,2022-12-01,SELL,CEG,59,94.36842722864408,5567.737206490001,3.8974160445430006,equal_weight,59,0,60.48656949113954,1999.0296065127682,0.5601550562801842,74
momentum_3m,quarterly,5,12,2022-11-30,2022-12-01,BUY,DXCM,45,116.38999938964844,5237.54997253418,3.6662849807739257,equal_weight,0,45,,,,3
