date,ticker,action,reason,score,selected,currently_held,current_shares,current_weight,target_weight,weight_gap,latest_price,allocation_mode,rebalance_frequency,top_n
2025-04-01,TPR,HOLD,Current holding remains close to target weight,0.535471700519587,True,True,49,0.20734407176489691,0.2,-0.007344071764896903,71.64510345458984,equal_weight,quarterly,5
2025-04-01,TPL,HOLD,Current holding remains close to target weight,0.5282872876698566,True,True,7,0.18501096671743164,0.2,0.01498903328256837,447.4972839355469,equal_weight,quarterly,5
2025-04-01,EQT,HOLD,Current holding remains close to target weight,0.48557946245392203,True,True,65,0.20384745207288787,0.2,-0.0038474520728878636,53.09857940673828,equal_weight,quarterly,5
2025-04-01,TRGP,BUY,New target holding from latest signal,0.394661938011863,True,False,0,0.0,0.2,0.2,197.4176788330078,equal_weight,quarterly,5
2025-04-01,MCK,SELL,Ticker is no longer selected by the signal,0.38289945785949486,False,True,5,0.19794580702756284,0.0,-0.19794580702756284,670.2969970703125,equal_weight,quarterly,5
2025-04-02,PLTR,HOLD,Current holding remains close to target weight,1.350806321363422,True,True,40,0.2012907951134817,0.2,-0.0012907951134816797,87.44999694824219,equal_weight,quarterly,5
2025-04-02,TPR,HOLD,Current holding remains close to target weight,0.6066155316629656,True,True,46,0.1944615166097479,0.2,0.005538483390252119,73.46351623535156,equal_weight,quarterly,5
2025-04-02,TPL,HOLD,Current holding remains close to target weight,0.5760394220081202,True,True,8,0.21188463119500675,0.2,-0.01188463119500674,460.2622375488281,equal_weight,quarterly,5
2025-04-02,EQT,HOLD,Current holding remains close to target weight,0.5014617566681376,True,True,63,0.19514240340964462,0.2,0.004857596590355395,53.827842712402344,equal_weight,quarterly,5
2025-04-02,MCK,BUY,New target holding from latest signal,0.4058597843142655,True,False,0,0.0,0.2,0.2,690.037109375,equal_weight,quarterly,5
2025-04-02,TRGP,SELL,Ticker is no longer selected by the signal,0.40131201650423454,False,True,17,0.19564549622985988,0.0,-0.19564549622985988,199.99392700195312,equal_weight,quarterly,5
2025-04-03,PLTR,HOLD,Current holding remains close to target weight,1.2929237677826522,True,True,40,0.20811635606262568,0.2,-0.008116356062625674,83.5999984741211,equal_weight,quarterly,5
2025-04-03,EQT,HOLD,Current holding remains close to target weight,0.44731906926600384,True,True,63,0.2012751483548082,0.2,-0.0012751483548081866,51.334537506103516,equal_weight,quarterly,5
2025-04-03,MCK,TRIM,Current weight is above target weight,0.4414572665213947,True,True,5,0.22196979397291874,0.2,-0.021969793972918733,713.3192138671875,equal_weight,quarterly,5
2025-04-03,TPR,HOLD,Current holding remains close to target weight,0.4194213081958207,True,True,48,0.191123473094515,0.2,0.008876526905485016,63.97832107543945,equal_weight,quarterly,5
2025-04-03,TTWO,BUY,New target holding from latest signal,0.3884237015401866,True,False,0,0.0,0.2,0.2,208.92999267578125,equal_weight,quarterly,5
2025-04-03,TPL,SELL,Ticker is no longer selected by the signal,0.3382037860851286,False,True,7,0.17595052819009674,0.0,-0.17595052819009674,403.8802185058594,equal_weight,quarterly,5
2025-04-04,PLTR,HOLD,Current holding remains close to target weight,0.9741264023132796,True,True,39,0.19488357423838296,0.2,0.005116425761617055,74.01000213623047,equal_weight,quarterly,5
2025-04-04,MCK,HOLD,Current holding remains close to target weight,0.4007155334661423,True,True,4,0.1835599880620336,0.2,0.016440011937966403,679.6695556640625,equal_weight,quarterly,5
